Medication,Common route(s),Typical adult dose / range,Typical frequency,Peds (Neonate 0–28d) dose; freq,Peds (Infant 1–12mo) dose; freq,Peds (Child 1–12y) dose; freq,Peds (Adolescent 12–18y) dose; freq,Renal adjustment (adult/peds),Hepatic adjustment (adult/peds),IV Fluid options,Standard rates (mL/h 10–200),Weight-based maintenance (adult),Peds maintenance (4-2-1 rule),Weight (kg) – enter to auto-calc,Adult maint mL/h @1.0 mL/kg/h,Adult maint mL/h @1.5 mL/kg/h,Adult maint mL/h @2.0 mL/kg/h,Peds 4-2-1 mL/h (auto),Sepsis bolus mL @30 mL/kg
Ertapenem,IV,1 g IV q24h,q24h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O12), """", $O12*1.0)","=IF(ISBLANK($O12), """", $O12*1.5)","=IF(ISBLANK($O12), """", $O12*2.0)","=IF(ISBLANK($O12), """", 4*MIN(10,$O12) + 2*MAX(0,MIN(10,$O12-10)) + 1*MAX(0,$O12-20))","=IF(ISBLANK($O12), """", $O12*30)"
Imipenem‑cilastatin,IV,500 mg IV q6h (CrCl adjust),q6h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O13), """", $O13*1.0)","=IF(ISBLANK($O13), """", $O13*1.5)","=IF(ISBLANK($O13), """", $O13*2.0)","=IF(ISBLANK($O13), """", 4*MIN(10,$O13) + 2*MAX(0,MIN(10,$O13-10)) + 1*MAX(0,$O13-20))","=IF(ISBLANK($O13), """", $O13*30)"
Aztreonam,IV,1–2 g IV q8h,q8h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O14), """", $O14*1.0)","=IF(ISBLANK($O14), """", $O14*1.5)","=IF(ISBLANK($O14), """", $O14*2.0)","=IF(ISBLANK($O14), """", 4*MIN(10,$O14) + 2*MAX(0,MIN(10,$O14-10)) + 1*MAX(0,$O14-20))","=IF(ISBLANK($O14), """", $O14*30)"
Vancomycin,IV,15–20 mg/kg IV q8–12h (AUC‑guided; load 20–25 mg/kg),q8–12h,10–15 mg/kg IV q12h (AUC-guided),15 mg/kg IV q6–8h,15 mg/kg IV q6–8h (AUC-guided),15–20 mg/kg IV q8–12h (AUC-guided),Adjust to AUC/levels; extend interval as CrCl falls; post-HD dosing,No routine adjustment,,,,,,"=IF(ISBLANK($O15), """", $O15*1.0)","=IF(ISBLANK($O15), """", $O15*1.5)","=IF(ISBLANK($O15), """", $O15*2.0)","=IF(ISBLANK($O15), """", 4*MIN(10,$O15) + 2*MAX(0,MIN(10,$O15-10)) + 1*MAX(0,$O15-20))","=IF(ISBLANK($O15), """", $O15*30)"
Daptomycin,IV,4–10 mg/kg IV q24h (indication‑dependent),q24h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O16), """", $O16*1.0)","=IF(ISBLANK($O16), """", $O16*1.5)","=IF(ISBLANK($O16), """", $O16*2.0)","=IF(ISBLANK($O16), """", 4*MIN(10,$O16) + 2*MAX(0,MIN(10,$O16-10)) + 1*MAX(0,$O16-20))","=IF(ISBLANK($O16), """", $O16*30)"
Linezolid,"IV, PO",600 mg IV/PO q12h,q12h,—,10 mg/kg IV/PO q8h (≤11y),10 mg/kg IV/PO q8h (≤11y),600 mg q12h (≥12y),No adjustment; monitor for accumulation in severe failure,No routine adjustment; caution severe hepatic impairment,,,,,,"=IF(ISBLANK($O17), """", $O17*1.0)","=IF(ISBLANK($O17), """", $O17*1.5)","=IF(ISBLANK($O17), """", $O17*2.0)","=IF(ISBLANK($O17), """", 4*MIN(10,$O17) + 2*MAX(0,MIN(10,$O17-10)) + 1*MAX(0,$O17-20))","=IF(ISBLANK($O17), """", $O17*30)"
Clindamycin,"IV, PO",600–900 mg IV q8h or 300–450 mg PO q6–8h,q6–8h,—,10–13 mg/kg IV q8h (PO 10 mg/kg q8h),10 mg/kg IV/PO q6–8h (max 600 mg/dose IV; 450 mg/dose PO),10 mg/kg IV/PO q6–8h (max adult doses),No renal adjustment,Caution severe hepatic impairment; extend interval,,,,,,"=IF(ISBLANK($O18), """", $O18*1.0)","=IF(ISBLANK($O18), """", $O18*1.5)","=IF(ISBLANK($O18), """", $O18*2.0)","=IF(ISBLANK($O18), """", 4*MIN(10,$O18) + 2*MAX(0,MIN(10,$O18-10)) + 1*MAX(0,$O18-20))","=IF(ISBLANK($O18), """", $O18*30)"
Levofloxacin,"IV, PO",500–750 mg IV/PO q24h,q24h,—,—,10–20 mg/kg/day divided q12–24h (use restricted; max 750 mg/day),10 mg/kg q24h (max 750 mg),Adjust if CrCl <50,No routine adjustment,,,,,,"=IF(ISBLANK($O19), """", $O19*1.0)","=IF(ISBLANK($O19), """", $O19*1.5)","=IF(ISBLANK($O19), """", $O19*2.0)","=IF(ISBLANK($O19), """", 4*MIN(10,$O19) + 2*MAX(0,MIN(10,$O19-10)) + 1*MAX(0,$O19-20))","=IF(ISBLANK($O19), """", $O19*30)"
Ciprofloxacin,"IV, PO",400 mg IV q12h or 500–750 mg PO q12h,q12h,—,—,10–15 mg/kg/dose q12h (max 400 mg IV / 750 mg PO),Same as child; consider indication restrictions,Adjust if CrCl <50,No routine adjustment,,,,,,"=IF(ISBLANK($O20), """", $O20*1.0)","=IF(ISBLANK($O20), """", $O20*1.5)","=IF(ISBLANK($O20), """", $O20*2.0)","=IF(ISBLANK($O20), """", 4*MIN(10,$O20) + 2*MAX(0,MIN(10,$O20-10)) + 1*MAX(0,$O20-20))","=IF(ISBLANK($O20), """", $O20*30)"
Metronidazole,"IV, PO",500 mg IV/PO q8h,q8h,—,7.5 mg/kg q6–8h,7.5–10 mg/kg q6–8h (max 500 mg/dose),7.5 mg/kg q6–8h (max adult doses),No adjustment; consider post-HD dose,Reduce dose/extend interval in severe hepatic impairment,,,,,,"=IF(ISBLANK($O21), """", $O21*1.0)","=IF(ISBLANK($O21), """", $O21*1.5)","=IF(ISBLANK($O21), """", $O21*2.0)","=IF(ISBLANK($O21), """", 4*MIN(10,$O21) + 2*MAX(0,MIN(10,$O21-10)) + 1*MAX(0,$O21-20))","=IF(ISBLANK($O21), """", $O21*30)"
TMP‑SMX,"IV, PO",1–2 DS tabs PO q12h or 8–12 mg/kg/day TMP IV divided q6–8h,q6–12h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O22), """", $O22*1.0)","=IF(ISBLANK($O22), """", $O22*1.5)","=IF(ISBLANK($O22), """", $O22*2.0)","=IF(ISBLANK($O22), """", 4*MIN(10,$O22) + 2*MAX(0,MIN(10,$O22-10)) + 1*MAX(0,$O22-20))","=IF(ISBLANK($O22), """", $O22*30)"
Acyclovir,IV,5–10 mg/kg IV q8h (HSV encephalitis 10 mg/kg),q8h,10–20 mg/kg IV q8h (HSV severe/encephalitis),10 mg/kg IV q8h,10 mg/kg IV q8h (max adult dose),Same as child (weight-based),Adjust for CrCl; aggressive hydration to reduce crystalluria,No adjustment,,,,,,"=IF(ISBLANK($O23), """", $O23*1.0)","=IF(ISBLANK($O23), """", $O23*1.5)","=IF(ISBLANK($O23), """", $O23*2.0)","=IF(ISBLANK($O23), """", 4*MIN(10,$O23) + 2*MAX(0,MIN(10,$O23-10)) + 1*MAX(0,$O23-20))","=IF(ISBLANK($O23), """", $O23*30)"
Oseltamivir,PO,75 mg PO q12h,q12h,—,3 mg/kg/dose q12h (≤15 kg) per weight bands,Weight-band dosing (30–60 mg q12h),75 mg q12h,Reduce if CrCl <60,No adjustment,,,,,,"=IF(ISBLANK($O24), """", $O24*1.0)","=IF(ISBLANK($O24), """", $O24*1.5)","=IF(ISBLANK($O24), """", $O24*2.0)","=IF(ISBLANK($O24), """", 4*MIN(10,$O24) + 2*MAX(0,MIN(10,$O24-10)) + 1*MAX(0,$O24-20))","=IF(ISBLANK($O24), """", $O24*30)"
Fluconazole,"IV, PO",200–400 mg IV/PO q24h (load 800 mg for candidemia),q24h,—,6 mg/kg load then 3–6 mg/kg q24h,6–12 mg/kg q24h (max adult doses),3–6 mg/kg q24h (max adult),Reduce maintenance if CrCl <50,No routine adjustment; monitor LFTs,,,,,,"=IF(ISBLANK($O25), """", $O25*1.0)","=IF(ISBLANK($O25), """", $O25*1.5)","=IF(ISBLANK($O25), """", $O25*2.0)","=IF(ISBLANK($O25), """", 4*MIN(10,$O25) + 2*MAX(0,MIN(10,$O25-10)) + 1*MAX(0,$O25-20))","=IF(ISBLANK($O25), """", $O25*30)"
Micafungin,IV,100 mg IV q24h (esoph. candida 150 mg),q24h,—,2–4 mg/kg q24h (NICU often 10 mg/kg for candidemia; institutional),2–4 mg/kg q24h (max adult doses),100 mg q24h (adult-like),No adjustment,No routine adjustment,,,,,,"=IF(ISBLANK($O26), """", $O26*1.0)","=IF(ISBLANK($O26), """", $O26*1.5)","=IF(ISBLANK($O26), """", $O26*2.0)","=IF(ISBLANK($O26), """", 4*MIN(10,$O26) + 2*MAX(0,MIN(10,$O26-10)) + 1*MAX(0,$O26-20))","=IF(ISBLANK($O26), """", $O26*30)"
Heparin (UFH) infusion,IV,Bolus 60–80 units/kg then 12–18 units/kg/h titrated by aPTT/anti‑Xa,Continuous,—,—,Initial 75 units/kg IV bolus then 20 units/kg/h infusion (protocol-driven),Protocol-driven adolescent dosing; anti-Xa goal based,No renal adj; monitor anti-Xa/aPTT,Caution severe hepatic disease (coagulopathy),,,,,,"=IF(ISBLANK($O27), """", $O27*1.0)","=IF(ISBLANK($O27), """", $O27*1.5)","=IF(ISBLANK($O27), """", $O27*2.0)","=IF(ISBLANK($O27), """", 4*MIN(10,$O27) + 2*MAX(0,MIN(10,$O27-10)) + 1*MAX(0,$O27-20))","=IF(ISBLANK($O27), """", $O27*30)"
Enoxaparin (therapeutic),SC,1 mg/kg SC q12h or 1.5 mg/kg q24h (CrCl adjust),q12–24h,—,1.5 mg/kg SC q12h (infants often q12h),1 mg/kg SC q12h (anti-Xa guided),1 mg/kg SC q12h,Adjust if CrCl <30; monitor anti-Xa,Caution hepatic impairment (bleeding risk),,,,,,"=IF(ISBLANK($O28), """", $O28*1.0)","=IF(ISBLANK($O28), """", $O28*1.5)","=IF(ISBLANK($O28), """", $O28*2.0)","=IF(ISBLANK($O28), """", 4*MIN(10,$O28) + 2*MAX(0,MIN(10,$O28-10)) + 1*MAX(0,$O28-20))","=IF(ISBLANK($O28), """", $O28*30)"
Enoxaparin (prophylaxis),SC,40 mg SC q24h (30 mg q12h ortho; 30 mg q24h if CrCl<30),q24h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O29), """", $O29*1.0)","=IF(ISBLANK($O29), """", $O29*1.5)","=IF(ISBLANK($O29), """", $O29*2.0)","=IF(ISBLANK($O29), """", 4*MIN(10,$O29) + 2*MAX(0,MIN(10,$O29-10)) + 1*MAX(0,$O29-20))","=IF(ISBLANK($O29), """", $O29*30)"
Warfarin,PO,2–5 mg PO daily then INR‑guided,Daily,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O30), """", $O30*1.0)","=IF(ISBLANK($O30), """", $O30*1.5)","=IF(ISBLANK($O30), """", $O30*2.0)","=IF(ISBLANK($O30), """", 4*MIN(10,$O30) + 2*MAX(0,MIN(10,$O30-10)) + 1*MAX(0,$O30-20))","=IF(ISBLANK($O30), """", $O30*30)"
Apixaban,PO,5 mg PO q12h (2.5 mg q12h if criteria met),q12h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O31), """", $O31*1.0)","=IF(ISBLANK($O31), """", $O31*1.5)","=IF(ISBLANK($O31), """", $O31*2.0)","=IF(ISBLANK($O31), """", 4*MIN(10,$O31) + 2*MAX(0,MIN(10,$O31-10)) + 1*MAX(0,$O31-20))","=IF(ISBLANK($O31), """", $O31*30)"
Rivaroxaban,PO,15 mg PO q12h ×21d then 20 mg q24h (VTE); AF 20 mg q24h,q12–24h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O32), """", $O32*1.0)","=IF(ISBLANK($O32), """", $O32*1.5)","=IF(ISBLANK($O32), """", $O32*2.0)","=IF(ISBLANK($O32), """", 4*MIN(10,$O32) + 2*MAX(0,MIN(10,$O32-10)) + 1*MAX(0,$O32-20))","=IF(ISBLANK($O32), """", $O32*30)"
Clopidogrel,PO,75 mg PO q24h (ACS load 300–600 mg),q24h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O33), """", $O33*1.0)","=IF(ISBLANK($O33), """", $O33*1.5)","=IF(ISBLANK($O33), """", $O33*2.0)","=IF(ISBLANK($O33), """", 4*MIN(10,$O33) + 2*MAX(0,MIN(10,$O33-10)) + 1*MAX(0,$O33-20))","=IF(ISBLANK($O33), """", $O33*30)"
Aspirin,PO,81 mg PO q24h (pain 325–650 mg q4–6h),q24h (or q4–6h for analgesia),—,—,3–5 mg/kg/day (antiplatelet); avoid for fever (Reye risk),Antiplatelet 81 mg daily typical; avoid for viral febrile illness,Avoid in severe renal disease; monitor,Avoid in severe hepatic impairment,,,,,,"=IF(ISBLANK($O34), """", $O34*1.0)","=IF(ISBLANK($O34), """", $O34*1.5)","=IF(ISBLANK($O34), """", $O34*2.0)","=IF(ISBLANK($O34), """", 4*MIN(10,$O34) + 2*MAX(0,MIN(10,$O34-10)) + 1*MAX(0,$O34-20))","=IF(ISBLANK($O34), """", $O34*30)"
Amiodarone (IV),IV,150 mg IV over 10 min then 1 mg/min ×6h then 0.5 mg/min,Infusion,—,—,5 mg/kg IV load over 20–60 min; infusion 5–15 mcg/kg/min,Similar weight-based dosing,No renal adj,Caution severe hepatic impairment; reduce/monitor,,,,,,"=IF(ISBLANK($O35), """", $O35*1.0)","=IF(ISBLANK($O35), """", $O35*1.5)","=IF(ISBLANK($O35), """", $O35*2.0)","=IF(ISBLANK($O35), """", 4*MIN(10,$O35) + 2*MAX(0,MIN(10,$O35-10)) + 1*MAX(0,$O35-20))","=IF(ISBLANK($O35), """", $O35*30)"
Metoprolol tartrate,"PO, IV",12.5–50 mg PO q6–12h (IV 5 mg q5 min to total 15 mg),q6–12h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O36), """", $O36*1.0)","=IF(ISBLANK($O36), """", $O36*1.5)","=IF(ISBLANK($O36), """", $O36*2.0)","=IF(ISBLANK($O36), """", 4*MIN(10,$O36) + 2*MAX(0,MIN(10,$O36-10)) + 1*MAX(0,$O36-20))","=IF(ISBLANK($O36), """", $O36*30)"
Carvedilol,PO,3.125–25 mg PO q12h,q12h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O37), """", $O37*1.0)","=IF(ISBLANK($O37), """", $O37*1.5)","=IF(ISBLANK($O37), """", $O37*2.0)","=IF(ISBLANK($O37), """", 4*MIN(10,$O37) + 2*MAX(0,MIN(10,$O37-10)) + 1*MAX(0,$O37-20))","=IF(ISBLANK($O37), """", $O37*30)"
Diltiazem (IV),IV,Bolus 0.25 mg/kg then 5–15 mg/h infusion,Infusion,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O38), """", $O38*1.0)","=IF(ISBLANK($O38), """", $O38*1.5)","=IF(ISBLANK($O38), """", $O38*2.0)","=IF(ISBLANK($O38), """", 4*MIN(10,$O38) + 2*MAX(0,MIN(10,$O38-10)) + 1*MAX(0,$O38-20))","=IF(ISBLANK($O38), """", $O38*30)"
Adenosine,IV,6 mg IV push; may repeat 12 mg,"Once, may repeat",—,—,"0.1 mg/kg IV rapid push (max 6 mg), may repeat 0.2 mg/kg (max 12 mg)",Same,No adjustment,No adjustment,,,,,,"=IF(ISBLANK($O39), """", $O39*1.0)","=IF(ISBLANK($O39), """", $O39*1.5)","=IF(ISBLANK($O39), """", $O39*2.0)","=IF(ISBLANK($O39), """", 4*MIN(10,$O39) + 2*MAX(0,MIN(10,$O39-10)) + 1*MAX(0,$O39-20))","=IF(ISBLANK($O39), """", $O39*30)"
Norepinephrine,IV,0.01–0.5 mcg/kg/min titrated,Continuous,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O40), """", $O40*1.0)","=IF(ISBLANK($O40), """", $O40*1.5)","=IF(ISBLANK($O40), """", $O40*2.0)","=IF(ISBLANK($O40), """", 4*MIN(10,$O40) + 2*MAX(0,MIN(10,$O40-10)) + 1*MAX(0,$O40-20))","=IF(ISBLANK($O40), """", $O40*30)"
Epinephrine (anaphylaxis),IM,0.3–0.5 mg IM (1 mg/mL) may repeat q5–15 min,q5–15 min PRN,—,—,0.01 mg/kg IM (1 mg/mL) max 0.3 mg; repeat q5–15 min,0.3–0.5 mg IM (≥30 kg),No adjustment,No adjustment,,,,,,"=IF(ISBLANK($O41), """", $O41*1.0)","=IF(ISBLANK($O41), """", $O41*1.5)","=IF(ISBLANK($O41), """", $O41*2.0)","=IF(ISBLANK($O41), """", 4*MIN(10,$O41) + 2*MAX(0,MIN(10,$O41-10)) + 1*MAX(0,$O41-20))","=IF(ISBLANK($O41), """", $O41*30)"
Phenylephrine,IV,0.1–5 mcg/kg/min titrated,Continuous,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O42), """", $O42*1.0)","=IF(ISBLANK($O42), """", $O42*1.5)","=IF(ISBLANK($O42), """", $O42*2.0)","=IF(ISBLANK($O42), """", 4*MIN(10,$O42) + 2*MAX(0,MIN(10,$O42-10)) + 1*MAX(0,$O42-20))","=IF(ISBLANK($O42), """", $O42*30)"
Nitroglycerin (IV),IV,5–200 mcg/min titrated,Continuous,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O43), """", $O43*1.0)","=IF(ISBLANK($O43), """", $O43*1.5)","=IF(ISBLANK($O43), """", $O43*2.0)","=IF(ISBLANK($O43), """", 4*MIN(10,$O43) + 2*MAX(0,MIN(10,$O43-10)) + 1*MAX(0,$O43-20))","=IF(ISBLANK($O43), """", $O43*30)"
Hydralazine,"IV, PO",10–20 mg IV q4–6h PRN,q4–6h PRN,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O44), """", $O44*1.0)","=IF(ISBLANK($O44), """", $O44*1.5)","=IF(ISBLANK($O44), """", $O44*2.0)","=IF(ISBLANK($O44), """", 4*MIN(10,$O44) + 2*MAX(0,MIN(10,$O44-10)) + 1*MAX(0,$O44-20))","=IF(ISBLANK($O44), """", $O44*30)"
